[0.0, 15.0, 15.0, 15.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 78, -20.0, 26.0, 7.0, 0.7929000884173298, 0.15, 0.4127129851251999, 0.5, 0.2970442628930023, 0.6548334806955497, 0.10084389681792215, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 8.0, 8.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 7, -7.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.10810810810810811, 0.20689655172413793, 0.1954387025953369, 0.7230768968667128, 0]
[0.0, 10.0, 10.0, 10.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 120.0, 120.0, 120.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 5.0, 5.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 10, -10.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1]
[0.0, 18.0, 18.0, 18.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 45.0, 45.0, 46.5, 0.8669810668877833, 0.6363636363636364, 0.813121693121693, 0.7777777777777778, 0.7777777777777778, 0.7783017781463055, 0.4666666666666666, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 999, 999, 999, 999, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 12, -12.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5394736842105263, 0.7192982456140351, 0.7010852072581886, 0.7436965521851127, 0]
[7, 9.0, 9.0, 9.0, 0.8477272727272728, 0.3333333333333333, 0.6666666666666666, 0.5, 0.4999999999999999, 0.7462121212121212, 0.19999999999999996, 18, 47.0, 47.0, 50.0, 0.8541260321599305, 0.5384615384615384, 0.7271512113617374, 0.7, 0.6999999999999998, 0.7568767202665508, 0.36842105263157887, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6, -3.0, 2.0, -1.5, 0.5952380952380952, 0.5952380952380952, 0.0, 0.0, 0.0, 0.5952380952380952, 0.0, 8, -8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9759036144578314, 0.9878048780487805, 0.9878048780487804, 0.9808403361344538, 0]
[0.0, 15.0, 15.0, 15.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 26.0, 29.0, 30.0, 0.844974358974359, 0.3076923076923077, 0.4593318248376025, 0.5714285714285714, 0.47809144373375745, 0.7416239316239316, 0.1889822365046136, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 5.0, 5.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 25, -25.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3148148148148148, 0.5862068965517241, 0.4871080168020649, 0.7150811968716111, 0]
[0.0, 19.0, 19.0, 19.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 7, 63.0, 63.0, 66.0, 0.9389610389610389, 0.8888888888888888, 0.8164965809277259, 1.0, 0.9428090415820632, 0.8982683982683982, 0.8164965809277259, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 19.0, 19.0, 19.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 9, -9.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.43902439024390244, 0.6666666666666666, 0.6123724356957945, 0.7142823857808448, 0]
[0.0, 17.0, 17.0, 17.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 95.0, 95.0, 95.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 6.0, 6.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8, -8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1]
[0.0, 10.0, 10.0, 10.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 119.0, 119.0, 119.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 999, 999, 999, 999, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1]
[0.0, 16.0, 16.0, 16.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 95.0, 95.0, 95.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8, -2.0, 1.0, -1.5, 0.0, 0.4305555555555555, 0.0, 0.0, 0.0, 0.4305555555555555, 0.0, 7, -7.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1]
[0.0, 22.0, 22.0, 22.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 45, 1.0, 28.0, 14.5, 0.7416489307793654, 0.45454545454545453, 0.4014814814814815, 0.8333333333333334, 0.6454972243679029, 0.6309270439705221, 0.3333333333333333, 0.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 7, -5.0, 1.0, -3.0, 0.5416666666666666, 0.5416666666666666, 0.0, 0.0, 0.0, 0.5416666666666666, 0.0, 24, -24.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07692307692307693, 0.4166666666666667, 0.18952451089472586, 0.30231470283472067, 1]
